PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Kirby(L, 2-3)",4.0,9,7,7,1,2,4,4.08
Murfee,2.0,1,1,1,0,2,1,1.82
Milone,3.0,2,1,1,0,2,0,2.00
,9.0,12,9,9,1,6,5,
