BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Crawford, JSS",4,0,0,0,0,1,0,.262,.732
"Rodríguez, JCF",4,1,1,0,0,1,0,.269,.775
WinkerLF,3,0,0,0,1,1,0,.227,.693
"Suárez, E3B",4,0,1,1,0,1,0,.236,.764
TrammellRF,4,0,0,0,0,0,2,.241,.798
RaleighC,4,1,1,1,0,1,0,.199,.761
UptonDH,2,0,0,0,0,2,0,.129,.431
Frazier2B,2,0,0,0,1,0,1,.223,.591
"Moore, D1B",3,0,0,0,0,1,1,.165,.631
,30,2,3,2,2,8,4,,
