Season,Team,Pos,PA,Depth (ft.),Angle
2020,ARI,8,478,328,0
2020,ARI,7,181,311,-28
2021,ARI,7,278,296,-26
2021,ARI,8,867,321,1
2021,ARI,9,340,294,26
2022,AZ,9,2263,293,27
2022,AZ,8,1590,321,1
