,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2020,AZ,NL,37,115,101,16,19,5,2,3,9,12,33,3,1,2,.188,.287,.366,.653
,2021,AZ,NL,95,315,284,41,70,17,2,11,38,30,67,6,0,0,.246,.318,.437,.755
,2022,AZ,NL,151,592,531,79,125,23,3,27,74,46,145,16,6,7,.235,.302,.443,.745
,3 Seasons,AZ,NL,283,1022,916,136,214,45,7,41,121,88,245,25,7,9,.234,.306,.432,.738
