Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2018,MIA,NL,P,10,10,58.2,12,4,7,1,2,,.917
2019,MIA,NL,P,21,21,111.1,21,9,12,0,1,,1.000
2020,MIA,NL,P,11,11,57.1,15,11,4,0,0,,1.000
2021,MIA,NL,P,20,20,102.2,13,4,9,0,1,,1.000
2022,MIA,NL,P,32,32,180.0,27,13,12,2,2,,.926
5 Seasons,MIA,NL,P,94,94,510.0,88,41,44,3,6,,.966
