BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Allen, NSS",4,1,1,0,0,0,1,.205,.562
LangeliersC,4,1,0,0,0,1,2,.233,.783
"Murphy, SDH",3,0,1,0,1,1,0,.255,.785
PinderRF,4,0,1,2,0,0,1,.236,.651
Neuse3B,3,0,0,0,0,0,2,.221,.580
a-MachínPH-3B,1,0,0,0,0,1,1,.226,.567
MacKinnon1B,4,1,0,0,0,2,1,.146,.382
BoltCF,3,0,0,1,0,1,0,.202,.594
Bride2B,3,0,1,0,0,0,0,.227,.567
"Brown, SLF",0,0,0,0,0,0,0,.223,.718
KempLF-2B,1,0,0,0,1,1,0,.220,.600
,30,3,4,3,2,7,8,,
