BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,3,2,1,1,2,0,0,.280,.906
DíazLF,3,2,2,2,2,1,1,.241,.677
1-SiriPR-LF,0,0,0,0,0,0,0,.185,.563
TuckerRF,4,0,1,1,1,1,2,.259,.837
Bregman3B,4,0,2,1,1,0,2,.243,.788
Gurriel1B,5,0,0,0,0,0,8,.229,.666
PeñaSS,5,0,1,0,0,0,4,.264,.771
MatijevicDH,5,1,1,0,0,2,4,.182,.653
MeyersCF,3,1,0,0,1,2,1,.296,.772
MaldonadoC,4,0,0,0,0,3,3,.157,.542
,36,6,8,5,7,9,25,,
