PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Garcia, L",6.0,1,1,1,3,7,0,3.65
"Maton, P",0.1,0,4,0,1,0,0,3.75
"Montero(BS, 1)",0.2,1,0,0,1,1,0,1.83
"Neris(W, 2-3)",1.0,0,0,0,1,2,0,3.75
"Pressly(S, 19)",1.0,0,0,0,0,2,0,3.24
,9.0,2,5,1,6,12,0,
