PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Anderson(W, 12-1)",5.0,6,5,5,4,3,1,2.89
"Phillips, E(H, 13)",1.0,1,0,0,0,2,0,1.54
"Vesia(H, 11)",1.0,0,0,0,0,2,0,3.24
Martin,1.0,0,0,0,0,0,0,4.32
Price,1.0,0,0,0,0,1,0,2.86
,9.0,7,5,5,4,8,1,
