PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Scherzer(W, 11-4)",6.0,4,1,1,1,7,1,2.13
Ottavino,1.0,0,0,0,0,2,0,2.18
"Smith, Dr",1.0,1,0,0,0,0,0,3.53
Lugo,1.0,3,3,3,0,1,1,3.56
,9.0,8,4,4,1,10,2,
