PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
"Sears(L, 6-3)",3.2,8,6,6,2,2,0,4.22
"Ruiz, N",1.0,2,1,1,1,0,1,6.61
Selman,1.1,1,0,0,0,0,0,3.94
Koenig,3.0,8,6,6,0,2,0,6.37
,9.0,19,13,13,3,4,1,
