BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
PeñaSS,5,1,1,0,0,1,1,.249,.688
Díaz2B,3,1,1,2,1,1,1,.257,.738
"Alvarez, YLF",4,1,2,1,0,0,1,.297,1.003
Bregman3B,2,0,0,0,1,0,2,.267,.844
TuckerRF,4,0,3,1,0,1,0,.263,.824
Gurriel1B,4,0,0,0,0,1,4,.243,.657
ManciniDH,3,1,1,0,1,1,4,.253,.745
VázquezC,4,0,1,1,0,0,3,.272,.711
McCormickCF,3,1,0,0,1,1,1,.232,.722
,32,5,9,5,4,6,17,,
