PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Elder(L, 1-1)",4.1,3,2,2,5,3,0,4.50
Strider,3.2,0,0,0,3,3,0,1.00
,8.0,3,2,2,8,6,0,
