BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Albies2B,4,0,0,0,0,1,0,.214,.854
Olson1B,4,0,2,0,0,0,0,.421,1.235
Riley3B,3,0,0,0,0,2,1,.250,.863
OzunaLF,4,1,1,1,0,1,3,.318,.985
d'ArnaudC,4,0,0,0,0,3,2,.241,.612
"Dickerson, ADH",3,0,0,0,0,0,2,.050,.186
DuvallCF,3,0,1,0,0,1,0,.263,.717
"Rosario, ERF",3,0,0,0,0,0,1,.034,.186
SwansonSS,3,0,0,0,0,2,0,.158,.501
,31,1,4,1,0,10,9,,
