,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,597,529,67,130,20,67,7,.246,.327,.414,.741
6 Seasons,2151,1909,259,466,81,282,19,.244,.324,.427,.751
