Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,Max EV,"Hard
Hit%",K%,BB%,Whiff%,"Chase
Rate",Speed,OAA,"Arm
Strength"
2017,,,,,,,,,36,,,,,,28,,
2018,,,,,,,,,74,,,,,,30,,
2019,44,25,40,45,43,54,62,92,88,92,6,70,10,65,41,25,
2020,19,7,32,55,11,61,75,71,68,70,5,53,21,52,28,44,35
2021,45,34,49,53,45,46,38,73,80,68,26,65,22,71,34,98,51
2022,67,51,67,68,65,76,72,90,92,83,18,75,24,71,17,96,56
