Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2017,L,24,0,0.0,.269,
2018,L,200,25,12.5,.302,.252
2019,L,538,179,33.3,.307,.375
2020,L,193,105,54.4,.329,.289
2021,L,593,281,47.4,.298,.375
2022,L,597,281,47.1,.346,.303
