BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Kemp2B,5,2,2,1,0,0,1,.234,.601
LaureanoRF,4,0,0,0,0,1,4,.248,.672
BarreraRF,0,0,0,0,0,0,0,.227,.630
a-PinderPH-RF,1,0,0,0,0,1,0,.242,.670
Bethancourt1B,5,2,3,2,0,1,0,.261,.720
"Brown, SLF",5,1,1,4,0,1,1,.211,.693
"Murphy, SC",4,1,1,1,1,0,1,.202,.672
AndrusSS,5,1,1,0,0,2,1,.241,.678
VogtDH,3,2,3,1,0,0,0,.174,.704
Davidson3B,4,1,2,1,0,1,1,.174,.573
PacheCF,4,0,0,0,0,3,5,.162,.433
,40,10,13,10,1,10,14,,
