PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Urquidy(W, 3-1)",5.0,12,4,4,0,1,2,4.81
"Martinez, S(H, 1)",3.0,1,0,0,2,1,0,0.00
"Taylor, B",1.0,0,0,0,1,1,0,3.55
,9.0,13,4,4,3,3,2,
