PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Eovaldi(L, 1-2)",1.2,8,9,6,0,0,5,4.32
Danish,2.1,3,4,3,0,2,1,5.25
Sawamura,1.0,0,0,0,0,2,0,3.00
Brasier,1.0,1,0,0,0,1,0,6.08
"Barnes, M",1.0,1,0,0,0,1,0,7.11
Diekman,1.0,1,0,0,1,1,0,2.92
"Davis, A",1.0,1,0,0,0,1,0,2.20
,9.0,15,13,9,1,8,6,
