BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,4,0,0,0,0,1,1,.264,.866
DíazLF,3,1,1,0,1,2,0,.217,.562
TuckerRF,2,0,0,0,1,1,1,.254,.841
Bregman3B,3,0,1,2,0,0,1,.242,.770
Gurriel1B,2,0,0,0,1,0,0,.226,.662
MatijevicDH,3,0,0,0,0,2,1,.100,.500
DubónSS,3,0,0,0,0,0,1,.232,.633
MeyersCF,3,1,1,0,0,1,1,.238,.524
MaldonadoC,3,0,0,0,0,0,1,.141,.475
,26,2,3,2,3,7,7,,
