BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,4,1,0,0,1,2,2,.197,.778
Hoskins1B,2,1,0,0,1,1,3,.216,.697
HarperDH,4,2,2,4,1,0,1,.309,.998
"Castellanos, NRF",3,0,0,1,1,1,1,.244,.712
RealmutoC,5,0,0,1,0,1,3,.253,.713
Bohm3B,4,1,3,0,1,1,0,.262,.657
"Herrera, OCF",4,1,1,0,1,1,3,.270,.778
Camargo2B,4,0,1,0,0,1,4,.246,.648
GregoriusSS,1,1,1,0,0,0,0,.300,.715
StottSS-2B,5,2,1,3,0,0,4,.159,.471
,36,9,9,9,6,8,21,,
