PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Manoah(L, 12-7)",7.0,4,1,1,2,8,0,2.60
"Garcia, Y",1.0,1,0,0,2,1,0,2.62
Bass,1.0,1,1,1,0,2,1,1.46
,9.0,6,2,2,4,11,1,
