 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2020,,107,18.6,15.0%,1.9%,74,22.1,0.0%,9.5%
2021,,583,18.3,14.6%,2.4%,316,23.4,0.0%,14.2%
2022,,576,18.7,15.3%,3.6%,314,23.5,0.3%,15.6%
