Season,Team,Pos,PA,Depth (ft.),Angle
2017,PHI,7,1057,291,-28
2017,PHI,3,861,109,36
2018,PHI,7,4887,296,-27
2018,PHI,3,464,110,35
2019,PHI,3,6007,109,35
2020,PHI,3,1468,112,34
2021,PHI,3,3615,110,34
2022,PHI,3,5447,109,34
