 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2017,,211,983,11,-6,11,5,21
2018,,651,"2,895",-5,-8,24,15,26
2019,,699,"3,223",-35,-4,33,18,13
2020,,185,769,-6,6,7,3,10
2021,,443,"1,886",0,-6,14,7,16
2022,,745,"3,211",-3,-15,27,12,21
