Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2017,-2,,0,-1,-1,-2,-1,0,0,0,94,90,-4
2018,-17,,-1,-3,-5,-8,-1,-5,-3,-9,89,82,-7
