Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2017,24,26.1,4.49,,64,55,446,33.7
2018,25,26.3,4.56,,68,57,424,36.8
2019,26,25.9,4.54,,27,68,473,30.9
2020,27,25.7,4.71,,33,46,378,24.6
2021,28,26.4,4.64,,27,48,422,37.6
2022,29,25.9,4.73,,30,43,504,19.3
