 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2017,3,7,42.9,-1,0.1,-1,-0.2,-1.1,31.8
2018,14,56,25,-14,1.3,-2.7,-1.5,-2.9,30.3
