Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2017,R,211,18,8.5,.434,.241
2018,R,652,284,43.6,.350,.386
2019,R,699,493,70.5,.335,.352
2020,R,185,117,63.2,.412,.365
2021,R,436,280,64.2,.365,.361
2022,R,671,452,67.4,.353,.342
