PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
Detmers,4.1,5,0,0,3,4,0,4.20
Herget,1.0,0,0,0,1,2,0,2.77
Loup,0.2,0,0,0,0,1,0,4.66
Tepera,1.0,0,0,0,0,1,0,4.15
"Ortega, O(L, 1-2)(H, 4)",0.1,1,2,2,2,0,0,3.63
"Bradley(BS, 1)",0.2,1,0,0,0,1,0,5.56
,8.0,7,2,2,6,9,0,
