BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
LeMahieu1B-3B,3,0,0,0,1,0,1,.252,.723
JudgeDH,3,0,0,0,1,2,2,.303,1.033
Torres2B,4,0,0,0,0,1,4,.250,.774
AndújarLF,3,1,1,0,1,1,4,.278,.622
Kiner-FalefaSS,3,1,2,0,1,1,0,.266,.620
"Hicks, ACF",2,0,0,0,2,1,3,.214,.588
GalloRF,4,0,1,0,0,3,6,.177,.590
HigashiokaC,3,0,0,0,0,0,4,.158,.411
a-RizzoPH-1B,1,0,1,2,0,0,0,.213,.787
Gonzalez3B,4,0,2,0,0,0,2,.246,.627
TrevinoC,0,0,0,0,0,0,0,.275,.731
,30,2,7,2,6,9,26,,
