BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
AndrusSS,5,2,2,1,0,0,1,.258,.726
Moncada3B,4,1,0,0,1,1,2,.215,.627
"Abreu, J1B",4,1,1,1,0,2,0,.308,.834
"Jiménez, EDH",5,1,1,1,0,1,1,.311,.892
VaughnRF,3,0,0,0,0,1,3,.286,.795
EngelRF,1,0,0,0,0,1,0,.220,.574
b-GrandalPH,1,0,0,0,0,1,1,.201,.577
PollockLF,5,1,3,3,0,0,1,.246,.683
Robert Jr.CF,5,0,0,0,0,2,3,.284,.745
ZavalaC,5,1,2,0,0,0,0,.273,.733
Harrison2B,3,0,0,0,0,1,2,.251,.679
a-SheetsPH,1,0,1,0,0,0,0,.243,.711
"1-Garcia, LePR-2B",1,0,0,0,0,0,1,.210,.500
,43,7,10,6,1,10,15,,
