PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
Gibson,3.1,6,5,5,2,3,0,4.40
"Nelson, N",2.1,0,0,0,1,2,0,3.90
"Sánchez, C",1.1,0,0,0,0,2,0,4.91
Familia,1.0,1,1,0,0,1,0,3.60
"Knebel(W, 2-4)",1.0,1,1,1,1,1,0,3.52
,9.0,8,7,6,4,9,0,
