BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Duffy3B,5,1,2,1,0,1,2,.313,.706
OhtaniDH,5,1,1,0,0,2,1,.242,.772
TroutCF,3,1,0,0,1,0,0,.274,.953
Walsh1B,3,2,1,2,1,1,0,.258,.780
AdellRF,4,0,1,1,0,1,2,.217,.620
LagaresRF,0,0,0,0,0,0,0,.250,.668
MarshLF,4,1,1,1,0,1,2,.256,.670
SuzukiC,2,0,2,1,2,0,0,.226,.638
Wade2B-SS,4,1,0,1,0,1,4,.208,.537
"Velazquez, ASS",3,0,0,0,0,2,2,.185,.499
a-RengifoPH-2B,1,0,0,0,0,0,1,.253,.673
,34,7,8,7,4,9,14,,
