PITCHERS - CIN,IP,H,R,ER,BB,SO,HR,ERA
Lodolo,4.2,4,3,3,4,4,2,4.40
"Farmer, B(W, 1-1)",1.0,1,0,0,1,0,0,5.64
"Sanmartin(H, 5)",0.1,1,0,0,0,0,0,6.94
"Kuhnel(H, 4)",1.0,0,0,0,0,1,0,5.45
"Díaz, A(H, 12)",1.0,1,0,0,0,1,0,1.99
Strickland,1.0,2,2,2,0,0,0,5.95
,9.0,9,5,5,5,6,2,
