BATTERS - CIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
India2B,4,0,1,1,1,1,0,.248,.706
SenzelCF,5,0,0,0,0,0,3,.247,.619
"Farmer, K3B",3,0,0,0,1,0,0,.252,.699
Votto1B,3,1,1,1,2,1,1,.224,.747
SolanoDH,4,1,2,1,1,2,2,.299,.801
AquinoRF,4,1,1,0,1,1,2,.178,.517
Almora Jr.LF,3,2,1,1,1,0,4,.239,.649
BarreroSS,4,2,2,3,0,1,3,.200,1.000
RomineC,4,0,0,0,0,2,1,.158,.384
,34,7,8,7,7,8,16,,
