PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Morton(L, 1-2)",5.1,6,4,4,3,4,2,6.32
McHugh,1.1,2,1,1,1,3,0,3.18
Thornburg,0.1,0,0,0,0,0,0,2.45
"Smith, W.M.",1.0,0,0,0,1,1,0,3.38
,8.0,8,5,5,5,8,2,
