BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Edman2B,5,3,3,1,0,1,0,.310,.946
Goldschmidt1B,5,1,2,1,0,1,2,.269,.675
O'NeillLF,4,2,1,0,1,2,5,.203,.578
ArenadoDH,3,1,3,3,1,0,0,.375,1.155
b-KniznerPH-DH,1,0,0,0,0,1,0,.259,.777
DickersonRF,3,1,2,2,0,0,1,.200,.473
a-PujolsPH,1,0,0,0,0,1,1,.259,.852
BaderCF,1,0,1,0,0,0,0,.226,.607
CarlsonCF-RF,3,0,2,2,1,0,2,.215,.566
c-DonovanPH-RF,1,0,0,0,0,0,1,.000,.250
DeJongSS,5,0,0,0,0,2,6,.133,.479
MolinaC,4,1,1,0,0,0,0,.167,.361
"Sosa, E3B",3,1,1,0,0,1,0,.211,.497
,39,10,16,9,3,9,18,,
