PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Carrasco(L, 1-1)",3.2,9,8,8,2,3,0,4.50
Reid-Foley,1.2,2,1,1,1,1,0,5.00
Shreve,0.2,1,0,0,0,2,0,2.35
"Lopez, Y",2.0,4,1,1,0,3,0,4.50
,8.0,16,10,10,3,9,0,
