PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
Matz,4.0,6,4,4,2,6,0,6.11
"Woodford(W, 1-0)",2.0,3,1,1,0,2,0,1.50
"Cabrera, G",2.0,2,0,0,0,0,0,2.16
Helsley,1.0,0,0,0,0,1,0,0.00
,9.0,11,5,5,2,9,0,
