PITCHERS - MIA,IP,H,R,ER,BB,SO,HR,ERA
"Hernandez, E(L, 0-1)",4.2,5,4,4,3,6,2,7.71
Poteet,1.1,0,0,0,1,0,0,0.00
"Scott, Tan",1.0,0,0,0,1,1,0,0.00
Armstrong,1.0,2,2,2,1,0,0,9.00
,8.0,7,6,6,6,7,2,
