PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Lorenzen(W, 1-0)",6.0,2,1,1,0,7,1,1.50
"Loup(H, 2)",1.0,0,0,0,0,1,0,0.00
"Tepera(H, 2)",1.0,0,0,0,0,3,0,4.91
"Iglesias, R",1.0,1,1,1,0,0,1,4.50
,9.0,3,2,2,0,11,2,
