BATTERS - AZ,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Rojas, J3B",4,0,0,0,0,2,1,.298,.856
"Smith, PDH",4,0,0,0,0,3,1,.227,.707
"Marte, K2B",4,0,1,0,0,0,0,.250,.705
"Walker, C1B",4,0,0,0,0,2,1,.193,.735
PeraltaLF,4,1,1,0,0,1,1,.227,.762
McCarthyRF,4,1,2,1,0,1,1,.231,.663
"Thomas, ACF",3,0,0,0,0,2,2,.270,.805
PerdomoSS,3,0,1,1,0,1,0,.212,.610
"Herrera, JC",2,0,0,0,0,0,1,.174,.451
a-HummelPH-C,0,0,0,0,1,0,0,.186,.657
,32,2,5,2,1,12,8,,
