BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,4,1,1,0,1,2,0,.250,.729
"Soto, JRF",5,1,1,1,0,1,1,.222,.560
"Machado, M3B",5,1,3,1,0,2,2,.306,1.014
Cronenworth2B,4,1,1,0,0,2,3,.222,.549
Drury1B,4,1,2,3,0,0,1,.158,.474
Myers1B,0,0,0,0,0,0,0,.115,.379
BellDH,4,1,3,2,0,1,0,.222,.694
KimSS,3,1,1,0,1,0,2,.188,.578
GrishamCF,4,0,0,0,0,2,6,.286,1.019
"Nola, AuC",4,1,1,1,0,0,0,.321,.768
,37,8,13,8,2,10,15,,
