PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Snell(W, 2-0)",5.0,5,4,4,1,6,0,4.61
"Martinez, N(H, 3)",2.0,1,0,0,0,3,0,1.13
"Suarez, R",1.0,2,1,1,0,1,1,1.29
"Hader(S, 4)",1.0,0,0,0,0,3,0,0.00
,9.0,8,5,5,1,13,1,
