PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Snell(L, 4-6)",5.2,6,1,1,2,8,0,3.96
"Martinez, N",2.1,0,0,0,0,5,0,3.35
Hader,1.0,1,0,0,0,2,0,4.00
,9.0,7,1,1,2,15,0,
