BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
WardRF,5,0,0,0,0,1,2,.305,.977
TroutCF,5,1,1,2,0,3,1,.287,1.030
OhtaniDH,5,0,0,0,0,1,1,.258,.807
Walsh1B,3,0,0,0,1,2,0,.253,.755
Duffy3B,4,1,2,0,0,2,1,.286,.646
MarshLF,3,1,2,0,1,1,0,.249,.680
SuzukiC,4,0,1,2,0,1,4,.200,.599
WadeSS-2B,4,1,0,0,0,1,5,.214,.534
Rengifo2B,4,0,1,0,0,0,1,.206,.579
"Velazquez, ASS",0,0,0,0,0,0,0,.172,.495
,37,4,7,4,2,12,15,,
