BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,4,1,1,0,1,1,2,.201,.791
Hoskins1B,4,0,0,0,0,2,4,.218,.695
HarperDH,2,1,0,0,2,2,0,.304,.973
"Castellanos, NRF",3,1,0,0,1,1,1,.248,.721
RealmutoC,4,2,3,2,0,0,0,.260,.733
Bohm3B,4,0,0,0,0,2,4,.251,.636
StottSS,2,2,0,0,2,1,0,.157,.439
Camargo2B,4,0,2,4,0,1,0,.246,.653
MoniakCF,3,0,1,1,1,2,1,.154,.368
,30,7,7,7,7,12,12,,
