PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Cortes(W, 1-0)",5.0,3,1,1,1,2,0,2.70
Loáisiga,2.0,3,0,0,0,2,0,0.00
Holmes,1.0,0,0,0,0,2,0,0.00
"Peralta, Wa",1.0,2,0,0,0,1,0,3.00
,9.0,8,1,1,1,7,0,
