PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Buehler(L, 6-2)",2.1,5,5,5,2,3,2,3.84
Bruihl,1.1,2,1,1,0,0,1,2.51
Almonte,1.0,0,0,0,0,2,0,1.50
Price,1.1,1,0,0,0,1,0,3.09
Graterol,1.0,3,3,3,0,1,1,3.86
Vesia,1.0,1,0,0,0,2,0,3.38
"Phillips, E",1.0,1,0,0,0,2,0,2.45
,9.0,13,9,9,2,11,4,
