BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,5,0,2,3,0,1,1,.311,.998
"Freeman, F1B",5,0,2,0,0,1,2,.291,.829
TurnerSS,4,0,0,0,0,3,2,.295,.803
"Turner, JDH",1,1,0,0,3,0,1,.228,.680
"Taylor, ChLF",4,0,0,0,0,2,4,.262,.801
Alberto3B,2,1,1,0,0,1,1,.241,.599
a-AlvarezPH-3B,1,0,0,0,0,0,0,.000,.000
"b-Smith, W.D.PH",1,0,1,0,0,0,0,.228,.721
McKinstry3B,0,0,0,0,0,0,0,.200,1.000
BellingerCF,4,1,0,1,0,0,3,.210,.678
"Barnes, AC",3,0,0,0,1,1,2,.217,.759
Lux2B,3,1,0,0,1,1,1,.275,.708
,33,4,6,4,5,10,17,,
