PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
Strider,6.0,3,1,1,2,9,1,2.95
Yates,1.0,0,0,0,0,1,0,6.00
Minter,1.1,0,0,0,0,2,0,2.31
"Iglesias, R",0.2,1,0,0,0,1,0,3.53
"Lee, D",1.0,3,2,1,0,2,0,2.50
"Stephens(W, 2-2)",1.0,0,1,0,1,1,0,3.21
,11.0,7,4,2,3,16,1,
