BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,5,0,0,0,0,3,4,.278,.861
Gurriel1B,5,0,1,1,0,2,0,.244,.671
TuckerRF,5,0,1,0,0,2,2,.258,.814
Bregman3B,4,1,1,0,0,1,3,.264,.836
ManciniDH,5,0,0,0,0,3,3,.261,.745
VázquezC,4,0,1,0,1,2,0,.288,.753
PeñaSS,5,2,1,2,0,1,3,.248,.711
McCormickLF,4,1,1,0,1,1,1,.239,.748
MeyersCF,3,0,1,1,1,1,0,.214,.570
,40,4,7,4,3,16,16,,
