PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
Assad,4.0,4,0,0,4,3,0,0.00
"Rucker(W, 3-1)",2.0,0,0,0,0,1,0,4.10
"Newcomb(H, 2)",0.2,0,0,0,0,0,0,7.11
"Uelmen(H, 3)",1.1,1,0,0,0,0,0,2.51
"Hughes(S, 3)",1.0,0,0,0,0,1,0,3.07
,9.0,5,0,0,4,5,0,
