PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Wainwright(L, 9-9)",6.0,5,2,2,4,3,0,3.11
"Romero, J",2.0,0,0,0,0,1,0,5.40
,8.0,5,2,2,4,4,0,
