PITCHERS - COL,IP,H,R,ER,BB,SO,HR,ERA
"Senzatela(L, 1-1)",5.0,10,5,5,0,3,1,4.73
Blach,0.2,5,4,4,1,1,0,7.36
Gilbreath,1.0,5,4,4,2,1,0,32.40
Chacín,1.1,0,0,0,0,2,0,6.75
,8.0,20,13,13,3,7,1,
