Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2021,,21.6,8,7.0,1,4,3,5,62.5
2022,,20.9,11,14.6,-4,6,15,5,45.5
Player,,21.2,19,21.6,-3,10,18,10,52.6
