PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
"Davies(L, 2-2)",4.0,7,5,5,0,2,1,4.35
Mantiply,1.0,1,0,0,0,2,0,0.61
"Kennedy, I",1.0,1,0,0,0,2,0,3.24
"Ramirez, No",1.1,0,0,0,0,0,0,3.94
Melancon,0.2,0,0,0,0,0,0,8.03
,8.0,9,5,5,0,6,1,
