BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
GarlickLF,4,0,1,0,0,1,0,.276,.890
CorreaSS,3,0,0,0,0,0,1,.271,.785
KirilloffRF,1,0,0,0,0,1,0,.255,.665
BuxtonCF,3,1,1,1,0,1,1,.218,.835
GordonSS-P,1,0,1,0,0,0,0,.258,.702
Polanco2B-SS,4,0,0,0,0,1,2,.239,.770
Miranda3B,4,0,0,0,0,1,1,.275,.784
Arraez1B-2B,3,0,2,0,0,0,0,.336,.845
SanchezC,2,0,0,0,1,2,1,.213,.676
SanóDH-1B,3,0,0,0,0,3,2,.083,.344
CelestinoRF-CF,3,0,0,0,0,1,2,.263,.645
,31,1,5,1,1,11,10,,
