PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Gilbert, L(L, 10-5)",4.0,10,7,7,1,2,1,3.47
Murfee,2.0,0,0,0,1,1,0,2.20
"Swanson, E",1.0,0,0,0,0,2,0,1.04
Brash,1.0,0,0,0,0,1,0,5.76
Borucki,0.2,2,2,2,0,1,1,5.68
Festa,0.1,1,0,0,1,0,0,3.55
,9.0,13,9,9,3,7,2,
