BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,4,0,1,0,1,1,3,.180,.476
SeagerSS,4,0,0,1,0,2,2,.283,.690
GarverC,4,1,0,0,1,2,1,.158,.535
"García, AdRF-CF",4,2,1,1,1,2,2,.182,.652
SolakLF,3,1,1,2,0,1,0,.250,.787
b-CalhounPH-RF,2,1,1,1,0,0,1,.207,.499
"Lowe, N1B",5,1,3,1,0,0,1,.396,.889
Culberson3B,2,0,0,0,0,1,2,.308,.785
"a-Miller, BPH-3B",3,0,0,0,0,1,2,.214,.722
IbáñezDH,4,1,1,1,0,0,1,.205,.461
"White, ECF-LF",4,1,2,1,0,1,0,.333,.885
,39,8,10,8,3,11,15,,
