BATTERS - KC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
OlivaresLF,4,0,1,0,0,2,2,.308,.811
Witt Jr.SS,3,0,1,0,0,1,1,.255,.757
"Garcia, MSS",1,0,0,0,0,1,0,.000,.000
PasquantinoDH,4,0,0,0,0,0,2,.190,.613
Rivera3B,4,0,0,0,0,1,2,.231,.689
O'HearnRF,2,1,0,0,0,1,1,.181,.467
b-HicklenPH,1,0,0,0,0,1,0,.000,.000
Pratto1B,4,0,2,0,0,0,0,.286,.804
EatonCF,3,0,0,0,0,2,3,.143,.821
"Lopez, N2B",3,0,1,1,0,0,1,.237,.578
RiveroC,1,0,0,0,0,0,0,.000,.083
a-MasseyPH,1,0,0,0,0,1,2,.000,.000
FerminC,1,0,0,0,0,0,1,.000,.000
,32,1,5,1,0,10,15,,
