BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
McKinstry2B,5,1,4,0,0,0,1,.192,.582
OrtegaCF,3,0,2,1,0,0,1,.234,.669
a-WisdomPH-CF,2,0,0,0,0,0,1,.215,.745
"Suzuki, SRF",4,1,1,1,0,0,3,.260,.767
HappLF,4,0,0,0,0,1,0,.272,.797
"Reyes, FDH",4,0,1,0,0,2,0,.233,.661
HoernerSS,2,0,2,0,0,0,0,.291,.759
MorelSS,1,0,1,0,1,0,0,.246,.751
Rivas1B,3,0,0,0,0,0,3,.242,.652
"b-Velazquez, NPH",1,0,0,0,0,0,2,.203,.652
Higgins1B,0,0,0,0,0,0,0,.222,.680
GomesC,3,0,0,0,0,0,0,.233,.622
Bote3B,4,0,1,0,0,2,1,.239,.620
,36,2,12,2,1,5,12,,
